scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.4,0.13,3,2.58712135802469172716
scenario-01,1.6,0.04,2,2.58775430864197528888
scenario-01,1.4,0.06,1,2.58835355555555580370
scenario-01,1.6,0.04,3,2.58895123456790153827
scenario-01,1.3,0.17,2,2.58990992592592579382
scenario-01,1.4,0.1,2,2.59117756790123450740
scenario-01,1.3,0.19,3,2.59118554320987692592
scenario-01,1.5,0.04,1,2.59151632098765456790
scenario-01,1.9,0.01,1,2.59300651851851872469
scenario-01,1.3,0.11,1,2.59305943209876554691
scenario-01,1.5,0.07,3,2.59377886419753123086
scenario-01,1.2,0.17,1,2.59449154320987654444
scenario-01,1.9,0.01,3,2.59783681481481500246
scenario-01,1.5,0.06,2,2.59804616049382714938
scenario-01,1.8,0.02,3,2.59919307407407423333
scenario-01,1.3,0.2,3,2.60015950617283989382
scenario-01,1.4,0.11,2,2.60025571604938262716
scenario-01,1.4,0.12,2,2.60062620987654308148
scenario-01,1.7,0.03,2,2.60081960493827155308
scenario-01,1.4,0.14,3,2.60197993827160530123
scenario-01,1.3,0.12,1,2.60234735802469146296
scenario-01,1.4,0.07,1,2.60334925925925949753
scenario-01,1.7,0.03,3,2.60483137037037059506
scenario-01,1.5,0.08,3,2.60559308641975344320
scenario-01,1.6,0.05,3,2.60693591358024721481
scenario-01,1.3,0.18,2,2.60783830864197515555
scenario-01,1.4,0.15,3,2.60801125925925962345
scenario-01,1.2,0.18,1,2.60956962962962962839
scenario-01,1.4,0.13,2,2.60957074074074059259
scenario-01,1.5,0.09,3,2.61159250617283984320
scenario-01,1.5,0.07,2,2.61291793827160490246
scenario-01,1.8,0.03,2,2.61564996296296285925
scenario-01,1.9,0.01,2,2.61620435802469143950
scenario-01,1.4,0.16,3,2.61696867901234603333
scenario-01,1.3,0.13,1,2.61736897530864207283
scenario-01,1.5,0.1,3,2.61771097530864228888
scenario-01,1.4,0.08,1,2.61840403703703722469
scenario-01,1.8,0.02,1,2.61850318518518535555
scenario-01,1.5,0.05,1,2.61892166666666688024
scenario-01,1.3,0.19,2,2.61982195061728377037
scenario-01,1.6,0.05,2,2.62031774074074068148
scenario-01,1.2,0.19,1,2.62171851851851850987
scenario-01,1.5,0.11,3,2.62372397530864228765
scenario-01,1.4,0.14,2,2.62448690123456772839
scenario-01,1.5,0.08,2,2.62495233333333325185
scenario-01,1.4,0.09,1,2.62741939506172856543
scenario-01,1.6,0.06,3,2.62773064197530893209
scenario-01,1.3,0.2,2,2.62879185185185165185
scenario-01,1.4,0.17,3,2.62890220987654355432
scenario-01,1.8,0.03,3,2.62907140740740758395
scenario-01,1.3,0.14,1,2.62931348148148156790
scenario-01,1.6,0.04,1,2.62978364197530879382
scenario-01,1.9,0.02,1,2.63238896296296309753
scenario-01,1.5,0.12,3,2.63264670370370400617
scenario-01,1.7,0.04,2,2.63326286419753078518
scenario-01,1.9,0.02,3,2.63358570370370385308
scenario-01,1.2,0.2,1,2.63378045679012345432
scenario-01,1.5,0.09,2,2.63407923456790111975
scenario-01,1.5,0.06,1,2.63419708641975328148
scenario-01,1.7,0.04,3,2.63457702469135826790
scenario-01,2.0,0.01,3,2.63526125925925942222
scenario-01,2.0,0.01,1,2.63629974074074091604
scenario-01,1.4,0.15,2,2.63636427160493806666
scenario-01,1.4,0.1,1,2.63663474074074087283
scenario-01,1.3,0.15,1,2.63854041975308649753
scenario-01,1.7,0.03,1,2.63986670370370385185
scenario-01,1.5,0.1,2,2.64027365432098750246
scenario-01,1.4,0.16,2,2.64245379012345656419
scenario-01,1.6,0.07,3,2.64253769135802496913
scenario-01,1.4,0.18,3,2.64371411111111145432
scenario-01,1.6,0.06,2,2.64411671604938263580
scenario-01,2.0,0.01,2,2.64486385185185190864
scenario-01,1.5,0.13,3,2.64761391358024720493
scenario-01,1.3,0.16,1,2.64765434567901241851
scenario-01,1.4,0.11,1,2.64857204938271616543
scenario-01,1.5,0.07,1,2.64923746913580264320
scenario-01,1.7,0.05,3,2.64947919753086442962
scenario-01,1.4,0.19,3,2.64974487654321020987
scenario-01,1.8,0.03,1,2.65134343209876556666
scenario-01,1.8,0.04,2,2.65150454320987639135
scenario-01,1.5,0.11,2,2.65216209876543192716
scenario-01,1.6,0.07,2,2.65302040740740728395
scenario-01,1.5,0.14,3,2.65656964197530892592
scenario-01,1.6,0.08,3,2.65711945679012372469
scenario-01,1.6,0.09,3,2.65739471604938297901
scenario-01,1.4,0.17,2,2.65742239506172815185
scenario-01,1.9,0.02,2,2.65821665432098760000
scenario-01,1.4,0.2,3,2.65870220987654353827
scenario-01,1.4,0.12,1,2.66075144444444454074
scenario-01,1.7,0.04,1,2.66112524691358034567
scenario-01,1.5,0.08,1,2.66138201234567914074
scenario-01,1.5,0.15,3,2.66256740740740768518
scenario-01,1.6,0.05,1,2.66264755555555569135
scenario-01,1.3,0.17,1,2.66266427160493831851
scenario-01,1.7,0.05,2,2.66290681481481469382
scenario-01,1.4,0.18,2,2.66343432098765405925
scenario-01,1.5,0.12,2,2.66425043209876522592
scenario-01,1.7,0.06,3,2.66454837037037060370
scenario-01,1.5,0.16,3,2.66565544444444471604
scenario-01,1.8,0.04,3,2.66778054320987671604
scenario-01,1.3,0.18,1,2.66868946913580250123
scenario-01,2.0,0.02,1,2.66886295061728405679
scenario-01,1.6,0.1,3,2.66926025925925950246
scenario-01,1.6,0.11,3,2.66950453086419775555
scenario-01,1.5,0.13,2,2.67053996296296271851
scenario-01,1.6,0.08,2,2.67075818518518503703
scenario-01,1.8,0.05,2,2.67265629629629610617
scenario-01,1.5,0.09,1,2.67347008641975318395
scenario-01,1.5,0.17,3,2.67462940740740766419
scenario-01,1.4,0.19,2,2.67552079012345650617
scenario-01,1.4,0.13,1,2.67571207407407414814
scenario-01,2.0,0.02,3,2.67637239506172850740
scenario-01,1.5,0.14,2,2.67649780246913553827
scenario-01,1.3,0.19,1,2.67790476543209877530
scenario-01,1.6,0.12,3,2.67842734567901256419
scenario-01,1.7,0.07,3,2.67927874074074096913
scenario-01,1.9,0.03,2,2.67939127160493814814
scenario-01,1.6,0.09,2,2.67993945679012326049
scenario-01,1.8,0.05,3,2.67998206172839523333
scenario-01,1.5,0.18,3,2.68061349382716074567
scenario-01,1.7,0.06,2,2.68087802469135789629
scenario-01,1.6,0.1,2,2.68317409876543186543
scenario-01,1.9,0.03,3,2.68406017283950630123
scenario-01,1.6,0.13,3,2.68437209876543231111
scenario-01,1.4,0.2,2,2.68456998765432068148
scenario-01,1.5,0.1,1,2.68542881481481489012
scenario-01,1.5,0.15,2,2.68549469135802440123
scenario-01,1.9,0.03,1,2.68583890123456801851
scenario-01,1.8,0.06,3,2.68912125925925942716
scenario-01,2.0,0.02,2,2.68932575308641971234
scenario-01,1.6,0.06,1,2.68933096296296310617
scenario-01,1.5,0.19,3,2.68961016049382740740
scenario-01,1.8,0.04,1,2.69011558024691366296
scenario-01,1.4,0.14,1,2.69066555555555559753
scenario-01,1.5,0.16,2,2.69158433333333301111
scenario-01,1.7,0.07,2,2.69293330864197512592
scenario-01,1.3,0.2,1,2.69302053086419752716
scenario-01,1.6,0.14,3,2.69342481481481501975
scenario-01,1.7,0.08,3,2.69403691358024711604
scenario-01,1.7,0.09,3,2.69427006172839525802
scenario-01,1.5,0.2,3,2.69558817283950641358
scenario-01,1.8,0.06,2,2.69658179012345657530
scenario-01,1.5,0.17,2,2.69764858024691323827
scenario-01,1.7,0.08,2,2.69895664197530841975
scenario-01,1.6,0.15,3,2.69948904938271624814
scenario-01,1.5,0.11,1,2.70030701234567906666
scenario-01,1.9,0.04,2,2.70059707407407390740
scenario-01,1.6,0.11,2,2.70107530864197505679
scenario-01,1.9,0.04,3,2.70201441975308653703
scenario-01,1.7,0.05,1,2.70224477777777787160
