,rmse,bo_xi,function,input_size
427,0.04634007054075966,0.01,mark-faces,1296000
445,0.050586853450986076,0.5,mark-faces,1296000
457,0.05769215621718601,1.5,mark-faces,1296000
433,0.06505598118887154,0.05,mark-faces,1296000
439,0.08403308829166989,0.1,mark-faces,1296000
463,0.11062342088762141,2.0,mark-faces,1296000
452,0.030234092049387474,1.0,mark-faces,1620000
446,0.034012939013873256,0.5,mark-faces,1620000
470,0.04264041323439907,2.5,mark-faces,1620000
476,0.044322060140442696,3.0,mark-faces,1620000
434,0.048956059270606915,0.05,mark-faces,1620000
440,0.06050500117622092,0.1,mark-faces,1620000
458,0.06582915378055751,1.5,mark-faces,1620000
428,0.07419907971876627,0.01,mark-faces,1620000
464,0.11609524251072013,2.0,mark-faces,1620000
231,0.1295714465558396,0.5,merge-videos,15451354
226,0.18440558214720854,0.1,merge-videos,15451354
221,0.18452737325351348,0.05,merge-videos,15451354
216,0.18535237042616112,0.01,merge-videos,15451354
236,0.18537037088948266,1.0,merge-videos,15451354
246,0.1972091473221195,2.0,merge-videos,15451354
241,0.19826320679179718,1.5,merge-videos,15451354
251,0.2366439772112054,2.5,merge-videos,15451354
256,0.27098678040515756,3.0,merge-videos,15451354
252,0.023857761042560568,2.5,merge-videos,19660106
242,0.02485550768635343,1.5,merge-videos,19660106
232,0.025851590759172753,0.5,merge-videos,19660106
222,0.026213410701711508,0.05,merge-videos,19660106
237,0.02644703971516377,1.0,merge-videos,19660106
247,0.027163634655956836,2.0,merge-videos,19660106
227,0.0328402865648289,0.1,merge-videos,19660106
257,0.0390887182606,3.0,merge-videos,19660106
217,0.09497485088968381,0.01,merge-videos,19660106
248,0.022748059250286452,2.0,merge-videos,23807460
243,0.02306670025863598,1.5,merge-videos,23807460
258,0.023929520453821355,3.0,merge-videos,23807460
223,0.02398491640211866,0.05,merge-videos,23807460
253,0.0242163437435966,2.5,merge-videos,23807460
238,0.02549631234905367,1.0,merge-videos,23807460
233,0.026906336811436914,0.5,merge-videos,23807460
228,0.027259289189232226,0.1,merge-videos,23807460
218,0.028283814291752862,0.01,merge-videos,23807460
219,0.023686809718172146,0.01,merge-videos,37873978
259,0.024569916848009535,3.0,merge-videos,37873978
244,0.024754765393289475,1.5,merge-videos,37873978
254,0.025216022993190406,2.5,merge-videos,37873978
224,0.025953117763528096,0.05,merge-videos,37873978
229,0.0314883976890257,0.1,merge-videos,37873978
234,0.03575632081561117,0.5,merge-videos,37873978
249,0.03865350903435272,2.0,merge-videos,37873978
239,0.04934361967057033,1.0,merge-videos,37873978
220,0.02046886065466311,0.01,merge-videos,42778355
250,0.0227447018024742,2.0,merge-videos,42778355
260,0.02495199927720927,3.0,merge-videos,42778355
245,0.025192996872218345,1.5,merge-videos,42778355
235,0.025375979280413796,0.5,merge-videos,42778355
225,0.029537408848025394,0.05,merge-videos,42778355
230,0.036239941504428705,0.1,merge-videos,42778355
